key,value,reference value,description
hp_v3.bank_based_payments.owner_name,Navn,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,vilkår og betingelser,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,Jeg er enig i at denne fullmakten er underlagt min banks vilkår og betingelser som gjelder for kontoen min og den spesifikke initiatoren,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.payment_method.common_error,Det oppstod en feil under behandlingen av forespørselen din. Velg en annen betalingsmetode eller prøv igjen,An error occurred while processing your request. Choose a different payment method or try again.,An error occurred while processing your request. Choose a different payment method or try again.
hp_v3.pm.agreement.checkout_com_sepa,"Ved å signere dette mandatskjemaet, gir du (A) %{merchant_name} tillatelse til å sende instruksjoner til banken din om å belaste kontoen din og (B) banken din til å belaste kontoen din i samsvar med instruksjonene fra %{merchant_name}. Som en del av dine rettigheter, har du rett til refusjon fra banken din under vilkårene og betingelsene i avtalen med banken din. En refusjon må kreves innen 8 uker fra datoen kontoen din ble belastet","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.portal.edit_subscription.pm_absent.warning,Du må legge til en betalingsmetode for å oppdatere abonnementet ditt,You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.ach.setup,Opprett ACH,Set up ACH,Set up ACH
hp_v3.direct_debit.sort_code,Sorteringskode,Sort Code,Sort Code
hp_v3.pm.ideal_disclaimer,"<li>Du vil bli dirigert til bankens side for å autentisere betalingen via iDeal.</li><li>Ikke avslutt før du får en betalingsbekreftelsesmelding.</li><li>Dine gjentatte betalinger vil bli gjort via SEPA Direct Debit.</li><li>Hvis du er på en mobil enhet, blir du noen ganger tatt til en annen nettleser etter betalingsautentisering. Sørg for at du returnerer til denne nettleseren for å fullføre betalingen.</li>","<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Do not exit until you get a payment confirmation message.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li><li>If you’re on a mobile device, you are sometimes taken to a different browser after payment authentication. Make sure you return to this browser to complete payment.</li>",iDEAL disclaimer
hp_v3.portal.metered_subscription.desc_without_amount,Dine kostnader basert på bruk,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.paynow.use_card_future_payments.info,Du kan bruke denne betalingsmetoden for dine fremtidige transaksjoner,You can use this payment method for your future transactions.,Info while saving this card for future payments
hp_v3.portal.gateway_error,Kan ikke fortsette uten en gyldig gateway-konto,Cannot proceed without a valid gateway account,Cannot proceed without a valid gateway account
hp_v3.portal.no_account,Det ser ut til at du ikke har en konto hos oss,Looks like you don’t have an account with us,No account
hp.payment_confirmation_page.message_desc_redirect_confirmation,"Hvis du ikke blir omdirigert til en bekreftelsesside, sjekk fanen der du startet betalingen",If you aren't redirected to a confirmation page check the tab from which you initiated payment,If you aren't redirected to a confirmation page check the tab from which you initiated payment
hp_v3.direct_debit.upi_id,UPI ID,UPI ID,UPI ID
hp_v3.inapp_checkout.card_expiring,utløper,is expiring,card about to expire
hp_v3.common.copy,Kopier,Copy,Copy
hp_v3.inapp_checkout.pm.direct_debit,Direkte Debet,Direct Debit,Direct Debit
hp_v3.portal.more_billing_history,Last inn mer,Load More,Load more history of billing
hp_v3.pm.ideal_desc,gjentakende via SEPA Direkte Debet,recurring via SEPA Direct Debit,iDEAL desc
hp_v3.direct_debit.authorisation_code,Autorisasjonskode,Authorisation code,Authorisation code
hp_v3.direct_debit.phone,Telefon,Phone,Phone
hp_v3.portal.term.months,måneder,months,months
