key,value,reference value,description
hp_v4.checkout.full_page.info.gocardless.privacy_prefix,,"Payments by GoCardless. Read the ","Payments by GoCardless. Read the "
hp_v4.checkout.full_page.info.mandate_review.title,,Review mandate details,Review mandate details
hp_v4.checkout.full_page.place_holder.direct_debit.issuing_country_code,,Country,Country
hp_v4.checkout.full_page.info.gocardless.privacy_suffix,,GoCardless privacy notice.,GoCardless privacy notice.
hp_v4.checkout.full_page.place_holder.direct_debit.bank_code,,Bank Code,Bank Code
hp_v4.checkout.full_page.info.mandate_review.card.purpose,,Purpose,Purpose
hp_v4.checkout.full_page.info.mandate_review.card.validity.until_card_expiry,,Until card expiry,Until card expiry
hp_v4.checkout.full_page.place_holder.direct_debit.iban,,IBAN,IBAN
hp_v4.checkout.full_page.error.field.email.invalid,,should be a valid email,should be a valid email
hp_v4.checkout.full_page.info.mandate_review.card.max_auto_debit_amount,,Max Auto debit amount,Max Auto debit amount
hp_v4.checkout.full_page.place_holder.direct_debit.email,,Email,Email
hp_v4.checkout.full_page.place_holder.direct_debit.last_name,,Last Name,Last Name
hp_v4.checkout.full_page.error.field.length.max,,should not have more than %{max} characters,should not have more than %{max} characters
hp_v4.checkout.full_page.place_holder.direct_debit.swedish_identity_number,,Swedish Identity Number,Swedish Identity Number
hp_v4.checkout.full_page.place_holder.direct_debit.routing_number,,Branch Code,Branch Code
hp_v4.checkout.full_page.error.field.required,,This field is required,This field is required
hp_v4.checkout.full_page.place_holder.direct_debit.account_type.savings,,Savings,Savings
hp_v4.checkout.full_page.place_holder.direct_debit.account_type.checking,,Checking,Checking
hp_v4.checkout.full_page.place_holder.direct_debit.account_number,,Account Number,Account Number
hp_v4.checkout.full_page.info.optional,,(optional),(optional)
hp_v4.checkout.full_page.place_holder.direct_debit.pay_as_personal,,Pay as an individual,Pay as an individual
hp_v4.checkout.full_page.info.mandate_review.card.billing_frequency,,Billing Frequency,Billing Frequency
hp_v4.checkout.full_page.info.gocardless.bacs.protected_prefix,,Your payments are protected by,Your payments are protected by
hp_v4.checkout.full_page.error.default_error,,Something went wrong,Something went wrong
hp_v4.checkout.full_page.info.mandate_review.card.validity,,Validity,Validity
hp_v4.checkout.full_page.error.payment_method_init_failed,,An error occurred! Please select a different payment method and try again.,An error occurred! Please select a different payment method and try again.
hp_v4.checkout.full_page.info.mandate_review.card.billing_frequency.until_expiry,,You may be charged any time until expiry,You may be charged any time until expiry
hp_v4.checkout.full_page.info.mandate_review.card.purpose.subscription,,Subscription,Subscription
hp_v4.checkout.full_page.place_holder.direct_debit.pay_as_business,,Pay as a business,Pay as a business
hp_v4.checkout.full_page.error.field.length.min_max,,should be between %{min} and %{max} characters,should be between %{min} and %{max} characters
hp_v4.checkout.full_page.error.invalid_payment_details,,Invalid payment details,Invalid payment details
hp_v4.checkout.full_page.info.gocardless.bacs.protected_suffix,,Direct Debit Guarantee,Direct Debit Guarantee
hp_v4.checkout.full_page.place_holder.direct_debit.first_name,,First Name,First Name
hp_v4.checkout.full_page.info.tax.inclusive_of,,Inclusive of,Inclusive of
hp_v4.checkout.full_page.place_holder.direct_debit.account_type,,Account Type,Account Type
hp_v4.checkout.full_page.place_holder.direct_debit.company,,Company,Company
